id,audio,duration_seconds,prediction
a8dda3b156a83b8086d876b5,audio/88cb636155872549886e5cb4.flac,3.759562,ਕੁਲ ਦੁਨੀਆਂ ਚ ਤਾਂ ਕਰੋੜ ਤੋਂ ਵੱਧ ਹੋ ਗਏ ਹੋਣਗੇ
a20f376dc525f425fa8d88b0,audio/f016e4a3fa4cee5318813023.flac,2.559563,ਜੋ ਕਿ ਹੁਣ ਸੰਭਵ ਨਹੀਂ ਹੈ
c37839dec67ca9ed7e7024e0,audio/6906d4d02f23a8c38022461f.flac,7.76,ਵੇਖਦੇ ਹਾਂ ਉਹ ਦਿਨ ਕਦ ਆਵੇਗਾ
47d282bde41072f56e2168a1,audio/c40acaee7e37ec40960df738.flac,5.399563,ਨਾਲ ਲੱਗਦੇ ਕੋਠਿਆਂ ਤੇ ਚੁਬਾਰਿਆਂ ਉਤੇ ਲੋਕ ਚੜ੍ਹੇ ਖੜ੍ਹੇ ਸਨ
53c3294d177008a2a33f8927,audio/fbf0e254b19692dffb3df4c1.flac,5.039562,ਆਸਟ੍ਰੇਲੀਆ ਦੇ ਮੁਕਾਬਲੇ ਅਮਰੀਕਾ ਦੀ ਟੀਮ ਦੇ ਜਾਫੀਆਂ ਨੇ ਜੱਫੇ ਲਾਏ
66d0aa429bf8641cd8fa4dd9,audio/beef3c497c0411f6b4de1c6b.flac,8.98,ਵੈਸਾਖੀ ਦਾ ਤਿਉਹਾਰ ਭਾਰਤ ਵਿਚ ਕਿਸੇ ਨਾ ਕਿਸੇ ਰੂਪ ਵਿਚ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ
9af0e35f25a7f1ebff29fbc5,audio/05a889b460dd2d9748a470c4.flac,7.319562,ਇਹ ਏਜੰਸੀ ਪਾਕਿਸਤਾਨ ਮੂਲ ਦੇ ਇਸ ਅਮਰੀਕੀ ਨਾਗਰਿਕ ਦੀਆਂ ਬੀਤੇ ਸਮੇਂ ਦੀਆਂ
d8cb9a43d5415e0911ecd5fd,audio/d18cd1afea15876d289226fa.flac,6.22,ਵੋਟਾਂ ਦੀ ਗਿਣਤੀ ਵਾਸਤੇ ਕਾਂਊਟਿੰਗ ਸਟਾਫ ਤਾਇਨਾਤ
e215346f937c042e3c52588c,audio/8583761e5da3b8b524821a58.flac,5.079562,ਪੰਜਾਬ ਦੇ ਇਸ ਪਿੰਡ ਨਾਲ ਕੁਝ ਕੁ ਹੋਰ ਨਾਮ ਵੀ ਜੁੜੇ ਹੋਏ ਹਨ
99a0c0f021036fe882da9f49,audio/e5c853ccfa69396f5b6ce43e.flac,6.239562,ਉਨ੍ਹਾਂ ਭਰੋਸਾ ਦਿੱਤਾ ਕਿ ਆਉਂਦੇ ਮਹੀਨਿਆਂ ਵਿੱਚ ਸਰਕਾਰ ਕੁਝ ਸਖ਼ਤ ਫੈਸਲੇ ਲਏਗੀ
4c6b6ff1395d970ae152c180,audio/1a1d39c8e9f5cc9357fbdd06.flac,5.879562,ਹੋਰ ਜਾਣਕਾਰੀ ਆਪਦੇ ਵਾਰਡ ਅਤੇ ਸਿਟੀ ਦੇ ਇਲੈਕਸ਼ਨ ਵਿਭਾਗ ਤੋਂ ਲਵੋ
c8ee48e16befee0a771d4467,audio/91cf06f1f2382f625dd59707.flac,5.719563,ਇਹ ਠੀਕ ਹੈ ਕਿ ਮੈਂ ਪੂਰਾ ਸਮਾਂ ਬੱਚਿਆਂ ਨੂੰ ਨਹੀਂ ਦੇ ਪਾਉਂਦਾ
fe6e3cf560530a6ee1555ad7,audio/5f23e3917842185511889ace.flac,2.879563,ਸਿਰ ਦੀ ਵੀ ਜਿਹੜੀ ਸ਼ਬਦ ਸੀ
7a232840620c973d17041a7e,audio/1ddd562edc1a167e23a0dde7.flac,5.759563,ਧਰਮਿੰਦਰ ਸਨੀ ਤੇ ਬੌਬੀ ਤਿੰਨਾਂ ਦੇ ਪੱਗਾਂ ਬੰਨ੍ਹੀਆਂ ਤੇ ਪੰਜਾਬੀ ਅੰਦਾਜ਼ ਚ ਡਾਇਲਾਗ ਬੋਲੇ
4f2e5b9820a7ecc47960e1dc,audio/4d5ff45f9130cd966fec4184.flac,7.599563,ਧਿਆਨ ਰਹੇ ਮਾਲਿਸ਼ ਕਰਦੇ ਸਮੇਂ ਤੁਹਾਡੇ ਹੱਥ ਚਿਹਰੇ ਤੇ ਆਊਟਵਰਡ ਜਾਂ ਅਪਵਰਡ ਹੀ ਚੱਲਣ
490787a7de79453e515dc6ca,audio/c4bb51cf4fa084c7c680e33c.flac,6.839563,ਅੰਪਾਇਰ ਰਸੇਲ ਟਿਫਨ ਅਤੇ ਅਮੀਸ਼ ਸਾਹਿਬਾ ਦੀ ਬ੍ਰਿਟਿਸ਼ ਮੀਡੀਆ ਨੇ ਸਖ਼ਤ ਨਿਖੇਧੀ ਕੀਤੀ ਹੈ
f5f4bb2de10332835573157e,audio/d7f42c023de70865b3e0afbc.flac,6.199562,ਪਹਿਲਾਂ ਮੈਂ ਵੀ ਕਈ ਵਾਰ ਅਖੰਡ ਪਾਠ ਟੱਲੇਵਾਲ ਵਾਲੇ ਸੰਤਾਂ ਤੋਂ ਕਰਵਾਏ ਸਨ
ad3f7c2135b7aa4f6e2cdf4f,audio/dc373ac2bf5af54518287fd0.flac,6.039562,ਕੁੜੀਆਂ ਦੇ ਧੱਕੇ ਚੜ੍ਹਿਆ ਦੋਸਤ ਕਿਸੇ ਟਿਕਾਣੇ ਤਾਂ ਲਗਾਉਣਾ ਹੀ ਸੀ
37560f8869bd19c6da5fa972,audio/141361904f2b360efb7ae009.flac,5.879812,ਹੁਣ ਤੱਕ ਆਈ ਰਿਪੋਰਟ ਮੁਤਾਬਿਕ ਖਿਡਾਰੀ ਡੋਪਿੰਗ ਟੈਸਟ ਵਿਚ ਪਾਜ਼ੇਟਿਵ ਪਾਏ ਗਏ ਹਨ
5c6c216f208c228a7710c7ba,audio/650fd57ef01e10dfaebf8a22.flac,2.919563,ਉਹ ਲੱਖ ਰੁਪਿਆ ਲੈਣ ਉਤੇ ਅੜ ਗਿਆ
c1503793a3e3922852d39638,audio/d5d8ca08c049aecff9622fe2.flac,4.879562,ਸਾਰੇ ਸੰਸਾਰ ਦੀਆਂ ਨਜ਼ਰਾਂ ਇਨ੍ਹਾਂ ਚੋਣਾਂ ਤੇ ਸਨ
c6ce0bed843999e972ae3378,audio/d05a71f44caf8cf1b09095f9.flac,2.919812,ਸੰਕੀਰਨ ਬਹੁਤ ਤੰਗ ਹੈ ਉਹ ਦੁਆਰ
7d9dc100a98120353cd5e5fb,audio/f09c5addbedf4eff5ec8a0f1.flac,3.719562,ਕੇ ਹੁਕਮ ਹੋਵੇ ਹੁਣ ਅਨਾਜ ਚਾਹੀਦਾ ਏ
86ad7b2538c657aed7b24649,audio/76fe276c842ad3ea70cbb8e6.flac,5.039562,ਜੇਕਰ ਇਸ ਦੌਰਾਨ ਚੋਣਾਂ ਆ ਜਾਣ ਤਾਂ ਇਹ ਮੁਲਾਕਾਤ ਵੀ ਨਹੀਂ ਹੋ ਸਕਦੀ
52546f923d419fcaf1137f95,audio/f5673588672ed94aaa8397d3.flac,2.199562,ਇਹ ਹੀ ਹਾਲ ਭੰਨ ਨੂੰ ਦਾ
a21339f5cf3f24bf2a1f1be1,audio/18c072a2094163edf1d2ea2e.flac,5.599563,ਇਸ ਹਮਲੇ ਦੌਰਾਨ ਭੰਨਿਆ ਰਾਮ ਵਾਲੇ ਦੇ ਕੰਨ ਅਤੇ ਨੱਕ ਤੇ ਸੱਟਾਂ ਲੱਗ ਗਈਆਂ
749792696e9ffac98fb9e67e,audio/3e3ad868fc8371ad9585b984.flac,8.079562,ਅਜਿਹੀ ਸਥਿਤੀ ਚ ਖੇਤੀਬਾੜੀ ਹਰ ਸਾਲ ਕਰਜਿਆਂ ਦੇ ਮੱਕੜਜਾਲ ਵਿਚ ਫਸਦੀ ਜਾਂਦੀ ਹੈ
b053dae6975bbd3af3f450f0,audio/64dfc56891f54baf15273e59.flac,7.359563,ਘੱਟ ਗਿਣਤੀਆਂ ਨੂੰ ਆਪਣੀ ਜਾਇਜ਼ ਮੰਗ ਮਨਵਾਉਣ ਲਈ ਵੀ ਕੀ ਕੁਝ ਕਰਨਾ ਪੈਂਦਾ ਹੈ
40ba35db3cae1557ec4b3636,audio/42cb894ecad860787d01e8b5.flac,5.639563,ਡਾਲੀ ਤੇ ਪੁੰਗਰੀਹਵਾ ਤੋਂ ਸੱਜਰੀ ਲਹਿਰ ਹੈ
cc48da0ef0fbe50c7ec89c34,audio/c22b8b38d33b53af5f9acdcc.flac,3.839562,ਗੁਰੂ ਘਰਾਂ ਵੱਲੋਂ ਗੁਰੂ ਕਾ ਲੰਗਰ ਵਰਤ ਰਿਹਾ ਸੀ
77052ae188a307d48b43fbc3,audio/277ee7464521935afd932524.flac,3.479563,ਉਹਦੀ ਪੀਣੀ ਖਰਾਬ ਸੀ ਜੋ ਉਸ ਨੂੰ ਛੇਤੀ ਹੀ ਲੈ ਬੈਠੀ
81243afed7b779027dba954c,audio/0f2a59cbf21b3289ad2f25b4.flac,4.479563,ਹਾਕੀ ਦੀ ਕੋਚਿੰਗ ਬਾਰੇ ਵੀ ਬੜੀਆਂ ਕੰਮ ਦੀਆਂ ਗੱਲਾਂ ਕੀਤੀਆਂ ਹਨ
